sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
521,18_228_Masson_505_83_33_jpg.rf.e4d0190ff4b01b24b6f475f4ce0d2107.jpg,0.913336992263794,0.9783342480659485,0.971112330754598,0.8404970169067383,0.9601242542266846,0.9468323389689127
768,15_242_208_26_26_jpg.rf.6e58d1a35072c7dc251504f9a60872de.jpg,0.9146502017974854,0.9786625504493713,0.9715500672658285,0.8427238464355469,0.9606809616088867,0.9475746154785156
559,204_3_12_49_jpg.rf.b624d9ff9d770589374af51ff27ace59.jpg,0.9150672554969788,0.9787667989730835,0.9716890851656595,0.8434321880340576,0.9608580470085144,0.9478107293446859
486,15_242_208_29_24_jpg.rf.38b381a964e86363ce3e5e44a3c98e38.jpg,0.9153553247451782,0.9788388013839722,0.9717851082483927,0.8439218401908875,0.9609804749488831,0.9479739467302958
161,18_228_Masson_505_98_27_jpg.rf.df215b31f0ecf8c2683ca83e60255b75.jpg,0.9162158966064453,0.9790539741516113,0.9720719655354818,0.8453859686851501,0.9613465070724487,0.9484619895617167
394,201_2_12_54_jpg.rf.efb591547e0e2faaf1153964524658db.jpg,0.9178593158721924,0.9794648289680481,0.9726197719573975,0.848188579082489,0.9620471596717834,0.9493961930274963
179,15_242_208_18_4_jpg.rf.3c668c1ffcd8b172d4544049297562f1.jpg,0.9179100394248962,0.9794775247573853,0.9726366798082987,0.8482751846313477,0.9620687961578369,0.9494250615437826
562,15_242_208_22_9_jpg.rf.4015c419cb19c0cd2cadeb3c7e6e9218.jpg,0.9179708361625671,0.979492723941803,0.9726569453875223,0.8483790159225464,0.962094783782959,0.9494596719741821
293,102_1_7_33_jpg.rf.e49af7864d3d00960a0e7b82bd0a5c3d.jpg,0.9195701479911804,0.9798925518989563,0.9731900493303934,0.8511151075363159,0.9627788066864014,0.9503717025121053
330,16_253_308_22_6_jpg.rf.033fe86da0b39e84dbf74e2f296fbb23.jpg,0.920025646686554,0.9800063967704773,0.9733418822288513,0.8518958687782288,0.962973952293396,0.9506319562594095
686,18_228_Masson_505_84_31_jpg.rf.df7bd7e0db3d4a4672cf1d7b1130cdae.jpg,0.9203178882598877,0.9800794720649719,0.9734392960866293,0.852397084236145,0.9630992412567139,0.950799028078715
582,201_9_7_59_jpg.rf.d35a6acca59682cb81a04615332d4315.jpg,0.9204181432723999,0.9801045656204224,0.9734727144241333,0.8525691032409668,0.9631422758102417,0.9508563677469889
619,15_242_208_18_5_jpg.rf.661786f57eeaf5671a00890aba702cd3.jpg,0.9206840991973877,0.9801710247993469,0.9735613663991293,0.8530256152153015,0.9632564187049866,0.9510085384051005
321,102_1_8_25_jpg.rf.787232cdbd8f152421c92d050b2c686b.jpg,0.9215399026870728,0.9803849458694458,0.9738466342290243,0.8544961214065552,0.9636240005493164,0.9514987071355184
8,15_242_208_18_27_jpg.rf.ba019f3ff579a77c3aa3495b09cacf0b.jpg,0.921783447265625,0.9804458618164062,0.9739278157552084,0.8549149632453918,0.9637287259101868,0.9516383210817972
35,15_242_208_20_6_jpg.rf.51fd750472c3351063798cd4fcda3e3c.jpg,0.9231888651847839,0.9807972311973572,0.974396288394928,0.8573358654975891,0.9643339514732361,0.9524452884991964
684,15_242_208_23_22_jpg.rf.3e3d0b48ed9595dbe128e7b63fbb5aa5.jpg,0.9235081076622009,0.9808770418167114,0.974502702554067,0.8578867316246033,0.964471697807312,0.9526289105415344
434,17_228_801_67_44_jpg.rf.52ac6786393829889dc49ca32305cf8f.jpg,0.9243028163909912,0.9810757040977478,0.9747676054636637,0.8592592477798462,0.9648147821426392,0.9530864159266154
215,15_242_208_31_22_jpg.rf.1fb1582c193d6e9d1bce2f247f2d4fba.jpg,0.9244563579559326,0.9811140894889832,0.9748187859853109,0.8595247864723206,0.964881181716919,0.9531749288241068
125,16_224_604_92_67_jpg.rf.3d04339e57299205934edd499392abea.jpg,0.9244590997695923,0.9811147451400757,0.9748196999231974,0.8595294952392578,0.9648823738098145,0.9531764984130859
24,18_228_Masson_505_88_31_jpg.rf.c1cc97c4708c7e1702e31c2980322cb3.jpg,0.9246202111244202,0.9811550378799438,0.97487340370814,0.859808087348938,0.9649519920349121,0.953269362449646
728,204_2_18_37_jpg.rf.7fa7eee1b9f60d6ea709926e4fcc299f.jpg,0.9253989458084106,0.9813497066497803,0.9751329819361368,0.8611558079719543,0.9652889370918274,0.9537186026573181
428,15_242_208_31_22_jpg.rf.23837eb1edb6e207d9dc2b4476870b7e.jpg,0.9254255294799805,0.9813563823699951,0.9751418431599935,0.861201822757721,0.965300440788269,0.9537339409192404
106,15_242_202_168_26_jpg.rf.c83e081a84e8bc6604a627405caf7892.jpg,0.925523579120636,0.9813808798789978,0.9751745263735453,0.861371636390686,0.9653428792953491,0.953790545463562
217,15_242_208_28_17_jpg.rf.765cd62ad9e2c66970a0b609ac949b1c.jpg,0.9279652237892151,0.9819912910461426,0.9759884079297384,0.8656111359596252,0.9664027690887451,0.9552037119865417
15,15_242_208_20_6_jpg.rf.5bd73bf68e33ef8934fc8549d05b573d.jpg,0.9282944798469543,0.9820736050605774,0.9760981599489847,0.8661842942237854,0.9665460586547852,0.9553947647412618
395,201_2_12_23_jpg.rf.b150cabf66dbde1b9b7ec24e307b26ca.jpg,0.9298257231712341,0.9824564456939697,0.9766085743904114,0.8688545227050781,0.9672136306762695,0.9562848409016927
264,15_242_208_31_22_jpg.rf.d057858fe8ea375b6015f22b3883dc17.jpg,0.9298778772354126,0.9824694395065308,0.9766259590784708,0.8689455389976501,0.9672363996505737,0.9563151796658834
320,17_228_801_74_33_jpg.rf.5748183f2374781a96c0e7f3d9aeb4e6.jpg,0.9311936497688293,0.9827983975410461,0.9770645499229431,0.8712463974952698,0.9678115844726562,0.9570821324984232
605,15_242_208_31_22_jpg.rf.da39bc19066443d158e6a8baaa496215.jpg,0.9311953783035278,0.9827988147735596,0.9770651261011759,0.8712493777275085,0.9678123593330383,0.9570831259091696
