sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
255,15_239_101_65_50_jpg.rf.80317bf1d47bc9717140ac33cc98f72d.jpg,0.8879403471946716,0.9719851016998291,1.0,0.7984646558761597,0.9496161937713623,1.0
169,16_224_101_112_18_jpg.rf.a7cdf5d66530ec11c3376401bb2a6468.jpg,0.8916661143302917,0.9729165434837341,1.0,0.8045103549957275,0.9511275887489319,1.0
63,17_234_212_75_34_jpg.rf.166c54033b7d5872acb78021a22d0427.jpg,0.89290851354599,0.9732271432876587,1.0,0.8065354824066162,0.951633870601654,1.0
590,16_224_101_111_26_jpg.rf.2bd4570b0168232e1540594326d0200e.jpg,0.8972787261009216,0.9743196964263916,1.0,0.813694953918457,0.9534237384796143,1.0
162,15_239_101_63_44_jpg.rf.3eea2a9b242b8b715dbfa14c3c1f9c97.jpg,0.8988509774208069,0.9747127294540405,1.0,0.8162845969200134,0.9540711641311646,1.0
346,15_239_101_64_71_jpg.rf.4dd378867354146a56e5f691936df235.jpg,0.8994008302688599,0.9748501777648926,1.0,0.817192018032074,0.9542980194091797,1.0
369,18_211_Masson_205_111_9_jpg.rf.75f778c48016a5a847b6b493a8700e9f.jpg,0.9011678695678711,0.9752919673919678,1.0,0.8201141953468323,0.9550285339355469,1.0
456,16_224_603_158_45_jpg.rf.2a6f7bb6b9400a320756a73de3acf72d.jpg,0.901452898979187,0.9753632545471191,1.0,0.8205865025520325,0.9551466107368469,1.0
226,15_239_101_65_46_jpg.rf.6b551d42665304cd50be29d465877f5e.jpg,0.904236376285553,0.976059079170227,1.0,0.8252111077308655,0.9563027620315552,1.0
93,17_209_102_10_16_jpg.rf.aa2b6f3fb9e6b5f6407434cc6ff9e54f.jpg,0.9059521555900574,0.9764880537986755,1.0,0.8280736207962036,0.9570183753967285,1.0
